lat,lng
-27.353331,152.976194
-27.353173,152.976221
-27.352977,152.976261
-27.352915,152.976271
-27.352712,152.976305
-27.352679,152.976308
-27.352495,152.976335
-27.352298,152.976365
-27.352232,152.976378
-27.352037,152.976439
-27.352007,152.976459
-27.351801,152.976527
-27.351766,152.976532
-27.35156,152.97656
-27.351526,152.976562
-27.351361,152.976593
-27.3512,152.976625
-27.351018,152.97665
-27.350832,152.976675
-27.35081,152.97668
-27.35062,152.976694
-27.350583,152.976696
-27.350378,152.976735
-27.35021,152.97675
-27.350179,152.976756
-27.350115,152.976766
-27.349932,152.976786
-27.349898,152.976789
-27.349721,152.976818
-27.349542,152.976843
-27.349475,152.976853
-27.349409,152.976863
-27.349309,152.976876
-27.349182,152.976901
-27.349026,152.976929
-27.348819,152.976967
-27.348785,152.976973
-27.348624,152.977007
-27.348521,152.977023
-27.348325,152.977048
-27.348119,152.977077
-27.347974,152.977106
-27.347835,152.977128
-27.347696,152.977159
-27.347665,152.977172
-27.347605,152.977197
-27.347572,152.977208
-27.34738,152.977226
-27.347208,152.977259
-27.347138,152.97727
-27.346949,152.977311
-27.346886,152.977322
-27.346761,152.977318
-27.346604,152.977333
-27.346454,152.977266
-27.346368,152.97712
-27.346323,152.976919
-27.346318,152.976882
-27.3463,152.97668
-27.346243,152.976453
-27.346234,152.97642
-27.346201,152.97621
-27.346159,152.975993
-27.346152,152.975955
-27.346109,152.975727
-27.346091,152.975655
-27.346091,152.975624
-27.346107,152.975436
-27.346084,152.975356
-27.346053,152.975238
-27.346032,152.975161
-27.345974,152.974935
-27.345964,152.9749
-27.345908,152.974673
-27.3459,152.974635
-27.345863,152.974421
-27.345858,152.974344
-27.345814,152.974112
-27.345766,152.973911
-27.345758,152.973876
-27.345707,152.973666
-27.3457,152.973627
-27.345696,152.973511
-27.345688,152.973393
-27.345675,152.973317
-27.345673,152.973275
-27.345659,152.97315
-27.34565,152.97311
-27.345622,152.972879
-27.345589,152.972773
-27.345575,152.972669
-27.345587,152.972534
-27.345638,152.972313
-27.345714,152.972212
-27.345834,152.972213
-27.346014,152.972218
-27.346042,152.972215
-27.346226,152.9722
-27.346255,152.972195
-27.346372,152.972191
-27.346473,152.972267
-27.346556,152.97231
-27.346588,152.972298
-27.346759,152.972208
-27.346803,152.972181
-27.346973,152.972157
-27.347176,152.972128
-27.347215,152.972128
-27.347385,152.972104
-27.347561,152.972076
-27.347748,152.971974
-27.34778,152.971963
-27.34794,152.971919
-27.348043,152.97194
-27.34817,152.97206
-27.348294,152.972078
-27.348475,152.972055
-27.348675,152.972048
-27.348746,152.971971
-27.34874,152.971796
-27.348826,152.971674
-27.348975,152.971536
-27.349096,152.971454
-27.349298,152.971469
-27.349441,152.971492
-27.349488,152.971496
-27.349602,152.971506
-27.349782,152.971573
-27.349808,152.971588
-27.34999,152.971674
-27.350121,152.971793
-27.350313,152.971896
-27.350492,152.972008
-27.350657,152.972096
-27.35081,152.972104
-27.35101,152.97205
-27.351174,152.972023
-27.351357,152.971907
-27.351418,152.97188
-27.351616,152.971845
-27.35176,152.971875
-27.351847,152.971933
-27.351939,152.972065
-27.351985,152.972206
-27.352086,152.97233
-27.352202,152.972433
